Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
ETH,2012,GFDD.AI.01,135.886
ETH,2011,GFDD.AI.01,110.309
ETH,2010,GFDD.AI.01,102.486
ETH,2009,GFDD.AI.01,90.1445
ETH,2008,GFDD.AI.01,77.4283
ETH,2007,GFDD.AI.01,74.362
ETH,2006,GFDD.AI.01,65.9099
ETH,2012,GFDD.AI.02,2.92578
ETH,2011,GFDD.AI.02,1.89481
ETH,2010,GFDD.AI.02,1.36092
ETH,2009,GFDD.AI.02,1.31364
ETH,2008,GFDD.AI.02,1.19191
ETH,2007,GFDD.AI.02,1.07492
ETH,2006,GFDD.AI.02,0.936178
ETH,2005,GFDD.AI.02,0.912716
ETH,2004,GFDD.AI.02,0.83376
ETH,2015,GFDD.AI.03,32.8
ETH,2011,GFDD.AI.03,15.8
ETH,2006,GFDD.AI.03,46
